id,session_id,date,confirmationsCount,confirmations,result,loss_reason
7,6f98609d-7500-4a53-a647-4156c9cd8413,2025-03-03T21:23:20+01:00,1,"[""QM Setup""]",win,
8,6f98609d-7500-4a53-a647-4156c9cd8413,2025-03-03T21:29:19+01:00,2,"[""Double pattern"",""Ranging Doji Break""]",loss,
9,6f98609d-7500-4a53-a647-4156c9cd8413,2025-03-03T21:40:08+01:00,2,"[""Double pattern"",""Ranging Doji Break""]",win,
10,6f98609d-7500-4a53-a647-4156c9cd8413,2025-03-03T21:40:17+01:00,1,"[""Ranging Doji Break""]",loss,
11,6f98609d-7500-4a53-a647-4156c9cd8413,2025-03-03T21:52:07+01:00,2,"[""Double pattern"",""Gap""]",loss,
12,6f98609d-7500-4a53-a647-4156c9cd8413,2025-03-03T21:55:16+01:00,2,"[""Strong S/R Level"",""CPOR""]",win,
13,6f98609d-7500-4a53-a647-4156c9cd8413,2025-03-03T21:57:08+01:00,3,"[""Double pattern"",""Gap"",""Market Sequence""]",loss,
14,6f98609d-7500-4a53-a647-4156c9cd8413,2025-03-03T22:11:23+01:00,3,"[""Double pattern"",""Ranging Doji Break"",""Gap""]",loss,
15,6f98609d-7500-4a53-a647-4156c9cd8413,2025-03-03T22:11:25+01:00,3,"[""Double pattern"",""Ranging Doji Break"",""Gap""]",loss,
16,6f98609d-7500-4a53-a647-4156c9cd8413,2025-03-03T22:13:24+01:00,1,"[""Marubozu Candle""]",loss,
17,6f98609d-7500-4a53-a647-4156c9cd8413,2025-03-03T22:13:26+01:00,1,"[""Marubozu Candle""]",loss,
18,6f98609d-7500-4a53-a647-4156c9cd8413,2025-03-03T22:18:28+01:00,3,"[""Double pattern"",""Gap"",""Ranging Doji Break""]",win,
20,6f98609d-7500-4a53-a647-4156c9cd8413,2025-03-04T19:28:06+01:00,2,"[""Strong S/R Level"",""Gap""]",win,
23,b03209be-84d4-426d-bd9e-74c20626226a,2025-03-04T19:59:32+01:00,2,"[""Strong S/R Level"",""Gap""]",win,
24,b03209be-84d4-426d-bd9e-74c20626226a,2025-03-04T20:10:03+01:00,3,"[""Double pattern"",""Ranging Doji Break"",""Strong S/R Break""]",win,
25,b03209be-84d4-426d-bd9e-74c20626226a,2025-03-04T21:58:17+01:00,1,"[""CPOR""]",loss,
27,05cd8769-85f6-4101-96a6-82cbfeda16c9,2025-03-05T20:38:41+01:00,4,"[""Strong S/R Level"",""Double pattern"",""Ranging Doji Break"",""Gap""]",loss,
28,05cd8769-85f6-4101-96a6-82cbfeda16c9,2025-03-05T20:49:09+01:00,3,"[""Strong S/R Level"",""Buyers/Sellers Entry"",""Supply/Demand Zone""]",loss,
29,05cd8769-85f6-4101-96a6-82cbfeda16c9,2025-03-05T20:53:02+01:00,3,"[""Double pattern"",""Ranging Doji Break"",""Gap""]",loss,
30,05cd8769-85f6-4101-96a6-82cbfeda16c9,2025-03-05T20:56:00+01:00,3,"[""Double pattern"",""Ranging Doji Break"",""Gap""]",loss,
31,05cd8769-85f6-4101-96a6-82cbfeda16c9,2025-03-05T21:04:25+01:00,3,"[""With The Trend"",""Gap"",""Market Sequence""]",win,
32,05cd8769-85f6-4101-96a6-82cbfeda16c9,2025-03-05T21:12:21+01:00,2,"[""Gap"",""Double pattern""]",win,
33,05cd8769-85f6-4101-96a6-82cbfeda16c9,2025-03-05T21:15:17+01:00,1,"[""Double pattern""]",loss,
34,b6968ba6-c7e4-4a06-a577-3db619d2bb86,2025-03-06T21:01:20+01:00,3,"[""Gap"",""Ranging Doji Break"",""Strong S/R Level""]",win,
35,b6968ba6-c7e4-4a06-a577-3db619d2bb86,2025-03-06T21:18:06+01:00,2,"[""With The Trend"",""Gap""]",loss,
36,b6968ba6-c7e4-4a06-a577-3db619d2bb86,2025-03-06T21:27:01+01:00,3,"[""Ranging Doji Break"",""Double pattern"",""Supply/Demand Zone""]",win,
37,b6968ba6-c7e4-4a06-a577-3db619d2bb86,2025-03-06T21:31:00+01:00,4,"[""Marubozu Candle"",""CPOR"",""Round number"",""Gap""]",win,
38,b6968ba6-c7e4-4a06-a577-3db619d2bb86,2025-03-06T21:33:02+01:00,3,"[""Market Sequence"",""Gap"",""Double pattern""]",loss,
39,b6968ba6-c7e4-4a06-a577-3db619d2bb86,2025-03-06T21:38:20+01:00,3,"[""Market Sequence"",""Double pattern"",""Ranging Doji Break""]",win,
40,b6968ba6-c7e4-4a06-a577-3db619d2bb86,2025-03-06T21:44:00+01:00,2,"[""Gap"",""QM Setup""]",win,
41,b6968ba6-c7e4-4a06-a577-3db619d2bb86,2025-03-06T21:50:00+01:00,3,"[""Double pattern"",""Ranging Doji Break"",""Round number""]",loss,
43,b6968ba6-c7e4-4a06-a577-3db619d2bb86,2025-03-06T22:06:43+01:00,3,"[""Double pattern"",""Ranging Doji Break"",""Gap""]",loss,
44,b6968ba6-c7e4-4a06-a577-3db619d2bb86,2025-03-06T22:25:10+01:00,3,"[""QM Setup"",""Gap"",""Round number""]",win,
45,8d1ebfc3-50eb-4ea0-acfc-1a288709d313,2025-03-07T18:00:03+01:00,3,"[""QM Setup"",""Overlapping levels"",""Gap""]",win,
56,a6949c9f-3785-47db-ad27-d05a6444e21b,2025-03-09T21:12:41+01:00,3,"[""Double pattern"",""Gap"",""Ranging Doji Break""]",loss,"[""Bad luck. Trade was solid.""]"
57,a6949c9f-3785-47db-ad27-d05a6444e21b,2025-03-09T21:17:03+01:00,2,"[""Double pattern"",""Gap""]",win,
58,a6949c9f-3785-47db-ad27-d05a6444e21b,2025-03-09T21:26:38+01:00,1,"[""Double pattern""]",win,
59,a6949c9f-3785-47db-ad27-d05a6444e21b,2025-03-09T21:27:04+01:00,2,"[""Marubozu Candle"",""QM Setup""]",win,
60,a6949c9f-3785-47db-ad27-d05a6444e21b,2025-03-09T21:27:16+01:00,2,"[""Marubozu Candle"",""QM Setup""]",win,
61,a6949c9f-3785-47db-ad27-d05a6444e21b,2025-03-09T21:27:17+01:00,2,"[""Marubozu Candle"",""QM Setup""]",win,
62,a6949c9f-3785-47db-ad27-d05a6444e21b,2025-03-09T21:27:18+01:00,2,"[""Marubozu Candle"",""QM Setup""]",win,
63,a6949c9f-3785-47db-ad27-d05a6444e21b,2025-03-09T21:38:17+01:00,3,"[""Double pattern"",""Strong S/R Level"",""Strong S/R Break""]",win,
64,a6949c9f-3785-47db-ad27-d05a6444e21b,2025-03-09T21:50:04+01:00,3,"[""Double pattern"",""Ranging Doji Break"",""Market Sequence""]",win,
65,a6949c9f-3785-47db-ad27-d05a6444e21b,2025-03-09T22:06:24+01:00,2,"[""QM Setup"",""Round number""]",win,
66,a6949c9f-3785-47db-ad27-d05a6444e21b,2025-03-09T22:06:26+01:00,2,"[""QM Setup"",""Round number""]",win,
67,a6949c9f-3785-47db-ad27-d05a6444e21b,2025-03-09T22:06:27+01:00,2,"[""QM Setup"",""Round number""]",win,
68,7fed85eb-ee65-417f-bb8e-9a8433789546,2025-03-12T14:37:06+01:00,2,"[""Strong S/R Level"",""Supply/Demand Zone""]",win,
69,7fed85eb-ee65-417f-bb8e-9a8433789546,2025-03-12T14:56:11+01:00,1,"[""QM Setup""]",loss,
70,7fed85eb-ee65-417f-bb8e-9a8433789546,2025-03-12T14:58:04+01:00,1,"[""QM Setup""]",loss,
71,7fed85eb-ee65-417f-bb8e-9a8433789546,2025-03-12T15:21:02+01:00,4,"[""Strong S/R Break"",""Round number"",""Exhaustion Candle"",""Gap""]",win,
72,7fed85eb-ee65-417f-bb8e-9a8433789546,2025-03-12T15:21:04+01:00,4,"[""Strong S/R Break"",""Round number"",""Exhaustion Candle"",""Gap""]",win,
73,7fed85eb-ee65-417f-bb8e-9a8433789546,2025-03-12T15:34:11+01:00,2,"[""QM Setup"",""Gap""]",win,
74,7fed85eb-ee65-417f-bb8e-9a8433789546,2025-03-12T15:50:11+01:00,5,"[""Triple Pattern"",""Strong S/R Break"",""Psycho Pattern"",""With The Trend"",""Round number""]",loss,
75,7fed85eb-ee65-417f-bb8e-9a8433789546,2025-03-12T16:26:40+01:00,2,"[""Exhaustion Candle"",""Gap""]",win,
76,7fed85eb-ee65-417f-bb8e-9a8433789546,2025-03-12T16:27:02+01:00,2,"[""QM Setup"",""Supply/Demand Zone""]",win,
77,7fed85eb-ee65-417f-bb8e-9a8433789546,2025-03-12T16:28:47+01:00,1,"[""QM Setup""]",loss,
78,2db6b032-e6ff-4349-b468-ab2b82e962b7,2025-03-12T21:55:25+01:00,4,"[""With The Trend"",""Round number"",""Ranging Doji Break"",""Strong S/R Break""]",loss,
79,2db6b032-e6ff-4349-b468-ab2b82e962b7,2025-03-12T22:00:10+01:00,2,"[""Double pattern"",""Ranging Doji Break""]",win,
80,2db6b032-e6ff-4349-b468-ab2b82e962b7,2025-03-12T22:06:13+01:00,3,"[""Supply/Demand Zone"",""Exhaustion Candle"",""Gap""]",win,
